ra,ra_error,dec,dec_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_pmra_corr,ra_pmdec_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmdec_corr,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,ruwe,phot_g_mean_mag,bp_rp,dr2_radial_velocity
84.21931040490696,0.04408714,-69.1936216407627,0.045200117,2.0230892,1.9628067207970181,0.06554466,0.49018354564001015,0.06146613,0.08715821,-0.008459338,-0.14739214,-0.1373385,-0.29424223,-0.16919047,318,1,0.97901684,16.766396,1.675045,
84.23196621051831,0.032570105,-69.18959099030828,0.030660162,1.8939148,1.7780245280752247,0.046572324,0.652335935078135,0.038770225,0.039851274,-0.09356497,-0.12929559,-0.12899232,-0.30296865,-0.14189507,288,0,1.0405884,15.899618,0.07134628,
84.22789137983486,0.7221467,-69.19394261416754,1.1057866,,,,,,-0.11235713,,,,,,97,8,,14.36114,,
84.22760161285854,1.7098752,-69.19396959948814,1.3442774,,,,,,0.43310755,,,,,,150,2,,13.968084,0.048508644,
84.16765958344827,0.04689795,-69.17784290338761,0.046907578,1.8222895,1.7200275040539343,0.071124084,0.6018672895610526,0.060964935,0.0971383,-0.016350256,-0.11725766,-0.11979805,-0.35662386,-0.1736076,314,1,0.9853712,16.843113,-0.083703995,
84.16578585653788,0.021107672,-69.17607163198258,0.020971168,1.6704053,1.5963865042917427,0.030045984,0.491735389676507,0.02691601,0.0749278,-0.019131655,-0.14484806,-0.13144585,-0.30943304,-0.18985288,321,1,0.96740055,15.160295,0.056624413,
84.1848263159245,0.036210544,-69.17981611550444,0.036357094,2.0634747,1.9427803406434454,0.053346716,0.6953651036978146,0.047192622,0.07985609,-0.025142072,-0.13985376,-0.13365339,-0.3303646,-0.18314983,324,1,0.9599601,16.385231,2.2018042,
84.18422975324454,0.039828163,-69.18128443024008,0.04118391,1.956158,1.8351849294656362,0.058111064,0.6772376138050505,0.053258944,0.07608609,-0.007207899,-0.1380471,-0.1278177,-0.34989882,-0.1770152,319,1,1.1088624,16.382477,2.212079,
84.65178298742634,0.046503138,-69.2972403868436,0.0457248,1.8997757,1.8759539287886964,0.06974454,0.29990757769664034,0.060931507,-0.10302735,-0.07333682,0.03490867,0.09584697,-0.32861835,-0.12298588,330,0,1.073684,16.765734,0.32635117,
84.64011552303259,0.031703506,-69.29985142237385,0.031481635,14.09527,-0.505767482671212,0.048001036,14.086193233098061,0.042758934,-0.10067985,0.021052206,-0.02732042,0.04380608,-0.24355644,-0.18853024,334,0,1.2356067,15.742246,1.0890789,
84.52769416278468,0.017440408,-69.29159014753546,0.016388569,1.9360585,1.8393639096337486,0.024911512,0.6042043581226673,0.021282885,0.03181199,-0.022939725,-0.110170126,-0.037822902,-0.25607225,-0.19748415,328,1,1.0388566,12.472207,2.8840399,
84.60091909456425,0.029872954,-69.29476127303491,0.030952526,1.7812961,1.7219520865998506,0.04543148,0.4559569492856144,0.041445006,-0.038259357,-0.0800764,0.012458428,0.07886545,-0.30246702,-0.118255034,312,2,1.0763557,15.844137,2.918129,
84.56001544330722,0.0349415,-69.29244626137607,0.035282698,1.8611571,1.7765617966415355,0.053408448,0.5547373944335191,0.045086507,0.01584274,-0.046383798,-0.08191293,-0.029016646,-0.28446025,-0.14250124,334,2,0.9502088,16.345512,0.48675537,
84.5698689934304,0.016268656,-69.29219919411997,0.014804841,1.8721695,1.7812098518345838,0.024010332,0.5764636170295923,0.019586397,0.020741243,0.036990006,-0.17847279,-0.08806452,-0.26370117,-0.2191176,313,0,0.9098211,14.263539,0.16204548,
84.57134531240104,0.030702252,-69.29334757856275,0.030067079,1.9763378,1.8291325199051678,0.045756046,0.748455222025928,0.03892003,0.08756727,-0.011002848,-0.10964982,-0.037327033,-0.31960407,-0.1162339,309,0,1.0235026,15.881235,3.0097618,
84.57551295984682,0.016107969,-69.2951537343369,0.015700487,1.9724863,1.8561626248387462,0.022726165,0.6673547214286446,0.02173723,0.06370461,0.019762719,-0.07214182,-0.012986444,-0.09901546,-0.042023614,296,3,1.0196806,12.648619,2.668954,261.99313
84.58338004220099,0.047923837,-69.29615577738423,0.048826456,1.6237515,1.5239381972619008,0.073753245,0.5605186758251977,0.063271716,0.038935624,-0.029466035,-0.07911599,-0.01908428,-0.31313655,-0.13749602,334,1,0.9263882,16.953426,2.384636,
84.58899271071722,0.04257303,-69.28128723341305,0.04750872,1.9835179,1.9141950893635797,0.067000456,0.5198079853032693,0.06235553,0.017941833,-0.047256682,-0.060641944,0.02196356,-0.4479263,-0.13218057,308,4,1.0002615,16.723995,1.4147062,
84.56915113101043,0.047031816,-69.27707320593903,0.049031503,1.7970576,1.742510592556713,0.0722808,0.4394005954130935,0.064177155,0.023413535,-0.050504334,-0.05756545,0.007973883,-0.37799686,-0.08829691,314,1,0.9341317,16.904848,0.07393265,
84.60901678836169,0.0313181,-69.2923283247125,0.03003984,1.7396872,1.6583511181246136,0.045228668,0.5257215838118435,0.04027643,-0.050701566,-0.06675413,-0.008897809,0.056853995,-0.2961328,-0.12386714,317,6,0.9894422,16.011402,0.5213337,
84.57058869634953,0.029543174,-69.27590470211948,0.029320711,1.7380407,1.668089917706721,0.043918505,0.48812032283992046,0.03882577,0.052327987,-0.024131553,-0.0705349,0.0101998625,-0.33347738,-0.12471104,307,0,1.03585,15.806444,2.6628075,
84.5876580527171,0.062243212,-69.27895078963454,0.06765792,2.5635293,2.4585514439280183,0.09565113,0.7260904209230442,0.08885275,-0.0064086933,-0.016628847,-0.052538805,0.06918854,-0.41545567,-0.19795194,317,2,1.2129024,16.992113,2.001524,
84.56547758789073,0.04316292,-69.2840012949178,0.042238105,1.7866124,1.6775486282021177,0.06448935,0.6146662659485718,0.054334037,-0.0017466758,-0.02213694,-0.08174935,-0.024943747,-0.3055991,-0.15663177,327,1,1.0499943,16.65581,0.4998665,
84.58038332380367,0.046204142,-69.28668447656607,0.046773307,2.1676347,2.046569551355633,0.072167665,0.7142785068037871,0.0614275,0.0077421204,-8.227527E-4,-0.054097548,-0.009159006,-0.3800889,-0.09986833,294,1,0.9737882,16.776016,1.812933,
84.60789144318218,0.02435584,-69.2888032052757,0.024212422,1.8399668,1.737100150774178,0.035359103,0.6065975418679328,0.032458022,-0.023884367,-0.05290804,-0.04810962,0.009247122,-0.3104549,-0.08489749,311,0,0.97555834,15.49861,0.7486515,
84.60594167231321,0.031152919,-69.29364249252959,0.03066056,1.8925202,1.8654916470930791,0.044860084,0.31870624965651806,0.041409936,-0.08202916,-0.062030256,0.0019344217,0.055937335,-0.27430546,-0.08082395,308,1,1.0030243,15.971581,0.069402695,
84.53516996816062,4.2068405,-69.27748133795804,4.1391506,,,,,,0.06830485,,,,,,285,0,,14.101984,0.113111496,
84.52651806720434,0.030649532,-69.2797325147176,0.03074167,0.7198616,-0.34028765263105654,0.04359014,-0.6343540815007287,0.037402898,0.02377063,-0.015983883,-0.08979545,-0.045595773,-0.26046363,-0.11935609,285,4,0.97841007,15.945989,1.2248888,
84.53277197306839,0.059758075,-69.2780148829049,0.067267925,1.7839726,1.7560348603215792,0.08581526,0.314483746218409,0.09475299,0.023841156,0.011220081,-0.12051553,-0.046967115,-0.039888818,-0.07268715,259,2,1.6037638,15.932539,,
84.53396340083678,0.31878656,-69.27710676040353,0.3880045,9.379084,9.151590281708206,0.49058542,2.0531919448246043,0.47928238,0.10703313,0.11320112,-0.08303196,0.10815127,-0.54312027,-0.09522304,239,7,4.5181785,16.7343,,
84.53434169191634,4.9377995,-69.27768224489694,5.406676,,,,,,-0.9980147,,,,,,54,0,,15.7481785,,
84.53480953335841,0.107520916,-69.27689023437422,0.119472355,1.6013327,1.575590811591195,0.15740159,0.28597209651695576,0.14468884,0.035072606,0.002214464,-0.11495109,-0.0034286964,-0.37655923,-0.25596118,294,4,3.1360388,16.232487,0.1435585,
84.51512690286444,0.0678309,-69.27320246670502,0.06559324,1.9714068,1.6934489880504142,0.10238167,1.0092945166204312,0.083809935,0.04212394,-0.05800656,-0.096409045,-0.022332497,-0.25283962,-0.19222221,301,0,1.4556223,16.70487,2.108633,
84.53408373695981,0.15639797,-69.27786956135007,0.13809083,2.0229917,1.793222463405091,0.20776887,-0.9364018438725372,0.17883393,-0.09567832,0.16661228,-0.18347192,-0.113317974,-0.30028966,-0.13314763,242,35,4.8886156,14.81805,,
84.53834423392398,0.2826258,-69.27756945142532,0.26495156,1.6756774,1.5375738327455006,0.40560868,-0.6661543349223168,0.33805683,0.11485451,0.11123876,-0.14191137,-0.052596062,-0.29588428,-0.18407415,280,0,5.0382934,16.808567,0.1764574,
84.53550607563052,0.04832512,-69.27860903672916,0.04763213,1.934254,1.8980266073811038,0.06982083,0.37260383552516446,0.060570136,0.07283506,-0.0072094207,-0.15125187,-0.088474855,-0.30046576,-0.11848985,291,0,1.1783365,16.198843,0.21186638,
84.53716671210765,0.8091062,-69.27716398799517,1.5007188,,,,,,-0.09222873,,,,,,158,9,,16.800543,,
